NO.,COMMANDMENT,QUESTION,STATEMENT
1,1,Reserved or harbored hatred for God?,I reserved or harbored hatred for God
2,1,Disobeyed the commandments of God or the Church?,I disobeyed the commandments of God or the church
3,1,"Refused to accept what God has revealed as true, or what the Catholic Church proclaims for belief?","I refused to accept what God has revealed as true, or what the Catholic Church proclaims for belief"
4,1,Denied the existence of God?,I denied the existence of God
5,1,Neglected to nourish and protect my faith?,I neglected to nourish and protect my faith
6,1,Neglected to reject everything opposed to a sound faith?,I neglected to reject everything opposed to a sound faith
7,1,Deliberately misled others about doctrine or the faith?,I deliberately misled others about doctrine or the faith
8,1,"Rejected the Catholic faith, joined another Christian denomination, or joined or practiced another religion?","I rejected the Catholic faith, joined another Christian denomination, or joined or practiced another religion"
9,1,"Joined a group forbidden to Catholics (Masons, communists, etc.)?",I joined a group forbidden to Catholics
10,1,Despaired about my salvation or the forgiveness of my sins?,I despaired about my salvation or the forgiveness of my sins
11,1,"Presumed God’s mercy? (Committing a sin in expectation of forgiveness, or asking for forgiveness without interior conversion and practicing virtue.)",I presumed God’s mercy 
12,1,"Loved someone or something more than God (money, power, sex, ambition, etc.)?",I loved someone or something more than God
13,1,Let someone or something influence my choices more than God?,I let someone or something influence my choices more than God
14,1,"Engaged in superstitious practices? (Incl. horoscopes, fortune tellers, etc.)",I engaged in superstitious practices 
15,1,"Been involved in the occult or occult practices? (Séances, Ouija board, worship of Satan, etc.)",I have been involved in the occult or occult practices 
16,1,Formally attempted to leave the Catholic Church?,I formally attempted to leave the Catholic Church
17,1,Hidden a serious sin or told a lie in Confession?,I have hidden a serious sin or told a lie in confession
18,2,Used the name of God in cursing or blasphemy?,I used the name of God in cursing or blasphemy
19,2,"Failed to keep vows, promises, or resolutions that I have made to God? [specify in the confessional which one; the Priest has authority to remove the obligations of promises and resolutions if they are too rash or unjust]","I failed to keep vows, promises, or resolutions that I have made to God"
20,2,"Spoken about the Faith, the Church, the saints, or sacred things with irreverence, hatred or defiance?","I spoken about the faith, the church, the saints, or sacred things with irreverence, hatred or defiance"
21,2,"Watched television or movies, or listened to music that treated God, the Church, the saints, or sacred things irreverently?","I watched television or movies, or listened to music that treated God, the church, the saints, or sacred things irreverently"
22,2,"Used vulgar, suggestive or obscene speech?","I used vulgar, suggestive or obscene speech"
23,2,Belittled others in my speech?,I belittled others in my speech
24,2,"Behaved disrespectfully in the church building (e.g., talking immoderately in church before, during, after holy Mass)?",I behaved disrespectfully in the church building
25,2,Misused places or things set apart for the worship of God?,I misused places or things set apart for the worship of God
26,2,Committed perjury? (Breaking an oath or lying under oath.),I committed perjury 
